"String Keys","Title","English","Screenshot","WIP"
"volunteer_portal.admin.tab.events","Clickable tab that displays the administrator Events View","Events","https://drive.google.com/open?id=1hog3if5Cu3egwE4G_CdoDipkZQwcpmD-","true"
"volunteer_portal.admin.tab.eventtypes","Clickable tab that displays the administrator Event Types View","Event Types","https://drive.google.com/open?id=1p5l0rZo-2pFQITAXFMy45CFcc5gV0GFK","true"
"volunteer_portal.admin.tab.tags","Clickable tab that displays the administrator Tags View","Tags","","true"
"volunteer_portal.admin.tab.offices","Clickable tab that displays the administrator Offices View","Offices","https://drive.google.com/open?id=1f9nZnTUKQaMnpNquc1VqdH6sKvryNJ4W","true"
"volunteer_portal.admin.tab.organizations","Clickable tab that displays the administrator Organizations View","Organizations","https://drive.google.com/open?id=1F1sxXNsCd-2AtR-4unVZPOLK1P7l8zwt","true"
"volunteer_portal.admin.tab.individualevents","Clickable tab that displays the administrator Individual Events View","Individual Events","https://drive.google.com/open?id=1qVwYdnBDhMRR9l3eqx-yyHTWPchQDHiJ","true"
"volunteer_portal.admin.tab.users","Clickable tab that displays the administrator Users View","Users","https://drive.google.com/open?id=1bQIlk90OYX9FDR8lZU1p_aR3o3jlr0cm","true"
"volunteer_portal.admin.tab.reporting","Clickable tab that displays the administrator Reporting View","Reporting","https://drive.google.com/open?id=1ilxTU6f_yWopyoVEZIHPI2z6VDHY__H8","true"
"volunteer_portal.calendar.bigcalendar.month","Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated","Month","https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_","true"
"volunteer_portal.calendar.bigcalendar.week","Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated","Week","https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_","true"
"volunteer_portal.calendar.bigcalendar.work_week","Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated","Work Week","https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_","true"
"volunteer_portal.calendar.bigcalendar.day","Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated","Day","https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_","true"
"volunteer_portal.calendar.bigcalendar.agenda","No need to translate","Agenda","","true"
"volunteer_portal.admin.tab.dashboard_thisweek","Label on top of This Week events","This Week","https://drive.google.com/file/d/1XKDa1cbJTpEwiBkfT6qt_N-Zbvi1_TOA","true"
"volunteer_portal.admin.tab.dashboard_thismonth","Label on top of This Month events","This Month","https://drive.google.com/open?id=1QIX2GP6auzowezJbVkiJLa-2tb89aD4Z","true"
"volunteer_portal.admin.tab.dashboard_noeventsthisweek","Text when there are no events on this week","No Events This Week","https://drive.google.com/open?id=1QIX2GP6auzowezJbVkiJLa-2tb89aD4Z","true"
"volunteer_portal.admin.tab.dashboard_thisweek_events","Text title for a number of events this week","Events","https://drive.google.com/open?id=1ErqgKSMqsVyrsDwj_sorGCG5ofdx4iVp","true"
"volunteer_portal.admin.tab.dashboard_thisweek_volunteers","Text title beginning for a number of volunteers registered this week","Volunteers","https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ","true"
"volunteer_portal.admin.tab.dashboard_thisweek_registered","Text title continuation for a number of volunteers registered this week","registered","https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ","true"
"volunteer_portal.admin.tab.dashboard_thisweek_hours","Text title beginning for a number of hours commited this week","Hours","https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2","true"
"volunteer_portal.admin.tab.dashboard_thisweek_committed","Text title continuation for a number of hours committed this week","committed","https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2","true"
