"String Keys","Title","","Screenshot","WIP"
"volunteer_portal.admin.tab.dashboard_thisweek_committed","Text title continuation for a number of hours committed this week","","https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2","true"
"volunteer_portal.admin.tab.dashboard_thisweek_spotsfilled","Text title a percentage of volunteering spots filled this week","","https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL","true"
"volunteer_portal.admin.tab.dashboard_noeventsthismonth","Text when there are no events on this month","","https://drive.google.com/open?id=1Ss1sH1AbMMWEfwuuwW-U59djPHQzRoT3","true"
"volunteer_portal.admin.tab.dashboard_thismonth_events","Text title for a list of events this month","","https://drive.google.com/open?id=1ErqgKSMqsVyrsDwj_sorGCG5ofdx4iVp","true"
"volunteer_portal.admin.tab.dashboard_thismonth_volunteers","Text title beginning for a number of volunteers registered this month","","https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ","true"
"volunteer_portal.admin.tab.dashboard_thismonth_registered","Text title continuation for a number of volunteers registered this month","","https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ","true"
"volunteer_portal.admin.tab.dashboard_thismonth_hours","Text title beginning for a number of hours commited this month","","https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2","true"
"volunteer_portal.admin.tab.dashboard_thismonth_committed","Text title continuation for a number of hours committed this month","","https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2","true"
"volunteer_portal.admin.tab.dashboard_thismonth_spotsfilled","Text title a percentage of volunteering spots filled this month","","https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL","true"
"volunteer_portal.admin.tab.events_addevent","Button label to action add an event","","https://drive.google.com/open?id=1gVgD847rRwXjXfk778mPTol_J12zE3g1","true"
"volunteer_portal.admin.tab.events_editevent","Button label to take you to edit event page","","https://drive.google.com/open?id=1xZksLkPfj56nwISFbw-M1OBcwtq9l4bZ","true"
"volunteer_portal.admin.tab.events_cloneevent","Button label to take you to clone event page","","https://drive.google.com/open?id=1asG_2C-G3PIyik5BYlEQjg7rgUjtPkqj","true"
"volunteer_portal.admin.tab.events_deleteevent","Button label to delete an event","","https://drive.google.com/open?id=1ed0yL5peTPc4dBJmT6fZG-NHewpmLcAD","true"
"volunteer_portal.admin.tab.events_columntitle","Column title for the field Title","","","true"
"volunteer_portal.admin.tab.events_columnorganization","Column title for the field Organization","","","true"
"volunteer_portal.admin.tab.events_columnstart","Column title for the field Start as in date and time","","","true"
"volunteer_portal.admin.tab.events_columnduration","Column title for the field Duration in minutes of the event","","","true"
"volunteer_portal.admin.tab.events_columnparticipants","Column title for the field Participant for a number of people","","","true"
"volunteer_portal.admin.tab.events_columnactions","Column title for the field Action","","","true"
"volunteer_portal.admin.tab.eventtypes_edit","Text button to edit an event type","","","true"
"volunteer_portal.admin.tab.eventtypes_delete","Text button to delete an event type","","","true"
"volunteer_portal.admin.tab.eventtypes_title","Column title for the field Title","","","true"
"volunteer_portal.admin.tab.eventtypes_actions","Column title for the field Actions","","","true"
"volunteer_portal.admin.tab.eventtypes_cancel","Text button to cancel the deletion of an event type","","","true"
"volunteer_portal.admin.tab.eventtypes_addeventtype","Text button to open a window to Add and new event type","","","true"
"volunteer_portal.admin.tab.eventtypes_deleteeventtype","Title for the confirmation window of Delete Event Type","","","true"
"volunteer_portal.admin.tab.eventtypes_deleteeventtypeconfirmation","Message for the confirmation window of Delete Event Type","","","true"
"volunteer_portal.admin.tab.offices_edit","Message for the confirmation window of Delete Event Type","","","true"
"volunteer_portal.admin.tab.offices_delete","","","","true"
"volunteer_portal.admin.tab.offices_name","","","","true"
"volunteer_portal.admin.tab.offices_timezone","","","","true"
"volunteer_portal.admin.tab.offices_actions","","","","true"
"volunteer_portal.admin.tab.offices_delete_cancel","","","","true"
"volunteer_portal.admin.tab.offices_delete_delete","","","","true"
"volunteer_portal.admin.tab.offices_add_office","","","","true"
"volunteer_portal.admin.tab.offices_delete_delete_office","","","","true"
"volunteer_portal.admin.tab.offices_delete_confirmation","","","","true"
"volunteer_portal.admin.tab.organizations_edit","","","","true"
"volunteer_portal.admin.tab.organizations_delete","","","","true"
"volunteer_portal.admin.tab.organizations_name","","","","true"
"volunteer_portal.admin.tab.organizations_location","","","","true"
"volunteer_portal.admin.tab.organizations_actions","","","","true"
"volunteer_portal.admin.tab.organizations_delete_cancel","","","","true"
"volunteer_portal.admin.tab.organizations_delete_delete","","","","true"
"volunteer_portal.admin.tab.organizations_add_organization","","","","true"
"volunteer_portal.admin.tab.organizations_delete_organization","","","","true"
"volunteer_portal.admin.tab.organization.delete_confirmation","","","","true"
"volunteer_portal.admin.tab.users_edit","","","","true"
"volunteer_portal.admin.tab.users_delete","","","","true"
"volunteer_portal.admin.tab.users_name","","","","true"
"volunteer_portal.admin.tab.users_email","","","","true"
"volunteer_portal.admin.tab.users_group","","","","true"
"volunteer_portal.admin.tab.users_actions","","","","true"
"volunteer_portal.admin.tab.users_delete_cancel","","","","true"
"volunteer_portal.admin.tab.users_delete_delete","","","","true"
"volunteer_portal.admin.tab.users_delete_user","","","","true"
"volunteer_portal.admin.tab.users.delete.confirmation","","","","true"
"volunteer_portal.admin.tab.individualevent.pendingapproval","","","","true"
"volunteer_portal.admin.tab.individualevent.bulkactions","","","","true"
"volunteer_portal.admin.tab.individualevent.approve","","","","true"
"volunteer_portal.admin.tab.individualevent.reject","","","","true"
"volunteer_portal.admin.tab.individualevent.apply","","","","true"
"volunteer_portal.admin.tab.individualevent.user","","","","true"
"volunteer_portal.admin.tab.individualevent.description","","","","true"
